ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,score
MARA,O:MARA250425C00009500,9.5,call,2025-04-25,2.95,2.7952616296632975,0.15473837033670268,1.1210402392041297,0.9933486337919945,-1.7641675933640393,0.0002075445501128535,304,9,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00010500,10.5,call,2025-04-25,1.95,1.8294708509477324,0.12052914905226753,1.0487180700749255,0.9375997426354469,-10.061953013182459,0.0013685909631511275,940,96,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00011000,11.0,call,2025-04-25,1.54,1.3872411473739135,0.15275885262608657,1.0415895849322898,0.8638358707879461,-17.65046366892925,0.0024334234177443514,855,607,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00011500,11.5,call,2025-04-25,1.09,0.996886628183475,0.09311337181652513,0.9563659406736253,0.7517286084937626,-25.433121334045378,0.0035276470850311896,2309,320,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00012000,12.0,call,2025-04-25,0.69,0.674875967962123,0.015124032037876933,0.9451210196475686,0.6102403764285403,-30.720929138179425,0.004274235176749784,3345,2977,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00012500,12.5,call,2025-04-25,0.43,0.42882117378992124,0.0011788262100787539,0.9690326425404867,0.458696816630269,-31.721706243432596,0.004421200653561544,4475,6686,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00013000,13.0,call,2025-04-25,0.25,0.2553586459367154,-0.005358645936715423,0.9653168313698375,0.31834534075817456,-28.495643111648466,0.003975862677534713,38916,14505,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00013500,13.5,call,2025-04-25,0.16,0.14256153309760755,0.017438466902392452,1.0075987334266874,0.20410976443432322,-22.61458972210534,0.003157560909694583,13900,11141,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425C00014000,14.0,call,2025-04-25,0.1,0.07474696711423312,0.025253032885766885,1.0626072511241542,0.12123607100453171,-16.070823582795327,0.0022450060044040877,35949,17942,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00011000,11.0,put,2025-04-25,0.11,0.09452919112297864,0.015470808877021361,1.0885350395779287,-0.13616412921205384,-17.320545028761185,0.0024334234177443514,2400,2912,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00011500,11.5,put,2025-04-25,0.2,0.2040513994599067,-0.004051399459906679,1.0032890033069342,-0.24827139150623745,-25.088206392051493,0.0035276470850311896,2129,2995,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00012000,12.0,put,2025-04-25,0.37,0.3819174667659233,-0.011917466765923312,1.0050879710974303,-0.3897596235714597,-30.36101789435972,0.004274235176749784,2722,4654,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00012500,12.5,put,2025-04-25,0.61,0.6357394001210874,-0.02573940012108744,1.0181618942806814,-0.541303183369731,-31.346798697787072,0.004421200653561544,4075,6834,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00013000,13.0,put,2025-04-25,0.98,0.9621535997952506,0.01784640020474937,1.0309044267693754,-0.6816546592418254,-28.105739264177117,0.003975862677534713,1740,1826,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00013500,13.5,put,2025-04-25,1.33,1.3492332144835117,-0.019233214483511674,1.0774718870945685,-0.7958902355656767,-22.20968957280817,0.003157560909694583,1594,251,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00014000,14.0,put,2025-04-25,1.79,1.7812953760275043,0.008704623972495718,1.1681975383690435,-0.8787639289954683,-15.650927131672338,0.0022450060044040877,1764,640,4,0-7,,,,,,0.0,,False,False,4
MARA,O:MARA250425P00014500,14.5,put,2025-04-25,2.02,2.2433313582663867,-0.22333135826638673,1.125177462215411,-0.9330156387865725,-9.9128958863808,0.001446054307042708,1454,38,4,0-7,,,,,,0.0,,False,False,4
