ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,Close,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,score
MARA,O:MARA250425C00012000,12.0,call,2025-04-25,2.52,,,1.7654203009502747,0.9925366564791573,-2.614460418551827,0.00022292611929974188,3824,271,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00013000,13.0,call,2025-04-25,1.53,,,1.4555947723130342,0.9278491084074295,-15.405035577324062,0.0014857171399047433,10381,776,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00013500,13.5,call,2025-04-25,1.09,,,1.3037076934385672,0.8414951745048262,-26.81144338028646,0.0026143442747867175,17438,2551,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00014000,14.0,call,2025-04-25,0.78,,,0.8649387235096844,0.7115754905046466,-37.67285221493534,0.0036912205109014356,16617,4449,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00014500,14.5,call,2025-04-25,0.47,,,0.8891458063873532,0.5520722497181857,-43.537038179670105,0.00427621448651275,24440,5255,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00015000,15.0,call,2025-04-25,0.25,,,0.959538358417996,0.38908089045558375,-42.14532659816298,0.004145210650325056,28097,6870,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00015500,15.5,call,2025-04-25,0.14,,,1.1258361114749147,0.24799948662467558,-34.751327609505964,0.003420860237640016,27098,1072,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425C00016000,16.0,call,2025-04-25,0.08,,,1.049511094508966,0.1429384506741952,-24.777495248831016,0.002440411103602224,5901,5313,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425P00013500,13.5,put,2025-04-25,0.13,,,1.039913710146098,-0.1585048254951737,-26.40650995015728,0.0026143442747867175,5213,2849,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
MARA,O:MARA250425P00014000,14.0,put,2025-04-25,0.24,,,0.9623646359344219,-0.28842450949535337,-37.25292125035693,0.0036912205109014356,2686,3720,2,0-7,61.79168461989625,14.477497920177578,10.322002163745763,14.604999542236328,,,1.0306826500451611,0.6179168461989625,True,False,4
