ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,Close,score
MARA,O:MARA250425C00009000,9.0,call,2025-04-25,3.5,3.4074110230824637,0.09258897691753631,1.2175136512858087,0.9989584199130709,-0.549520071700347,3.930899999381759e-05,44,4,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00010000,10.0,call,2025-04-25,2.4,2.4164523322403237,-0.01645233224032383,1.3386211636157357,0.981489990919199,-3.924198910192399,0.0005098403042884507,807,1123,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00010500,10.5,call,2025-04-25,1.98,1.9373649567558964,0.04263504324410361,1.1498044870063986,0.94801515461246,-8.816146767823637,0.0011963828096895593,940,93,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00011000,11.0,call,2025-04-25,1.54,1.4868565554914,0.05314344450860009,0.5910722183884476,0.8825152812170811,-16.069631581163442,0.0022162699740066885,855,605,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00011500,11.5,call,2025-04-25,1.13,1.0838175081717356,0.04618249182826428,1.057693702982047,0.7790201486054602,-24.035830554057927,0.0033384046688360643,2309,174,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00012000,12.0,call,2025-04-25,0.8,0.7456791992036393,0.0543208007963607,0.9885193636671633,0.6435435812814687,-30.081941394962026,0.004192910400425366,3345,2169,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00012500,12.5,call,2025-04-25,0.49,0.4822338661620629,0.007766133837937117,0.9918533253917534,0.49336797050606723,-32.12115979936212,0.004485945841806248,4475,6011,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00013000,13.0,call,2025-04-25,0.31,0.29256608557930797,0.01743391442069203,0.9585426987100684,0.3497071220108352,-29.782354536839758,0.0041642933137978335,38916,12476,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00013500,13.5,call,2025-04-25,0.18,0.16650531827102144,0.013494681728978553,0.9905174066801619,0.22914924614501914,-24.35293098849056,0.0034077902385280397,13900,10675,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
MARA,O:MARA250425C00014000,14.0,call,2025-04-25,0.11,0.08901955310181853,0.020980446898181473,1.0146169130074951,0.139124739033047,-17.802266385238024,0.0024924783618837723,35949,16465,4,0-7,55.833506929115615,14.526771066719807,10.303709032004559,12.404800415039062,4
