ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,Close,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,nearFib,score
MARA,O:MARA250523C00015500,15.5,call,2025-05-23,0.64,0.7788481508878853,-0.13884815088788527,0.47236758035986254,0.8126994817929467,-20.512427386777546,0.003223580667760782,3858,9630,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523C00016000,16.0,call,2025-05-23,0.39,0.43072991700703334,-0.04072991700703332,0.725642467988903,0.6031448752970751,-29.148300393456907,0.00462037206354558,13301,22441,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523C00016500,16.5,call,2025-05-23,0.24,0.19926918811619299,0.040730811883807005,0.8387875476948938,0.36481423358443593,-28.31162495580955,0.004503877621806405,11234,29790,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523C00017000,17.0,call,2025-05-23,0.15,0.07554388125567923,0.07445611874432076,0.9545704943969076,0.17499473226808615,-19.384281847959606,0.0030892167209432943,30580,37475,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00015500,15.5,put,2025-05-23,0.27,0.08630041509108333,0.1836995849089167,1.0728091136103426,-0.1873005182070533,-20.04750381885145,0.003223580667760782,5499,5416,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00016000,16.0,put,2025-05-23,0.52,0.23809999618453048,0.28190000381546954,1.1789813949537977,-0.3968551247029249,-28.668379291081582,0.00462037206354558,5982,20677,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00016500,16.5,put,2025-05-23,0.84,0.5065570822679835,0.3334429177320165,1.309052939144583,-0.635185766415564,-27.816706318984995,0.004503877621806405,1826,9695,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00017000,17.0,put,2025-05-23,1.24,0.882749590381767,0.35725040961823296,1.4728659826420922,-0.8250052677319138,-18.874365676685823,0.0030892167209432943,1729,5445,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00017500,17.5,put,2025-05-23,1.55,1.330357971559188,0.21964202844081204,1.7214513073625157,-0.9340337804251126,-9.10989783005963,0.0015370367337968049,599,992,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250523P00018000,18.0,put,2025-05-23,2.2,1.81282955885181,0.3871704411481902,2.0019286100558324,-0.9804117375956153,-3.031474699171497,0.0005701059701721211,621,665,2,0-7,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250530C00014500,14.5,call,2025-05-30,1.83,1.8295871313450327,0.0004128686549673688,0.4432257787727833,0.8612589177371598,-8.171859045672875,0.005623834497557045,1082,844,9,8-30,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250530C00015000,15.0,call,2025-05-30,1.25,1.4334271200748283,-0.1834271200748283,0.5617796005965957,0.7795533848967864,-10.799369881109124,0.007536257375519293,1231,770,9,8-30,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250530C00015500,15.5,call,2025-05-30,0.98,1.0865681210033422,-0.10656812100334223,0.6338179279507823,0.6792914809812179,-12.932043727819039,0.009099842429825014,1787,5415,9,8-30,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250530C00016000,16.0,call,2025-05-30,0.75,0.7953926519693173,-0.0453926519693173,0.6879051534914157,0.5676657153091198,-14.130766084294027,0.00999594996619825,5985,9005,9,8-30,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
MARA,O:MARA250530C00016500,16.5,call,2025-05-30,0.57,0.5616341442817578,0.00836585571824211,0.7288607639345165,0.45392032192172566,-14.191539319257034,0.010074459336628766,4596,6129,9,8-30,69.47513812154696,17.071623551192722,12.406376448807277,16.19,1.0,0.15012065970940502,0.8110231823000486,0.6947513812154696,True,False,False,6
