ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,Close,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,score
MARA,O:MARA250523C00012500,12.5,call,2025-05-23,3.89,3.714728533286843,0.17527146671315696,1.6244796877223775,0.9985263983867374,-0.6896514610232476,8.147483916174628e-05,452,14,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00013000,13.0,call,2025-05-23,2.97,3.2169587556744936,-0.24695875567449344,1.4358324238729832,0.9943257177569501,-1.450375171672665,0.00027458954322551947,1153,118,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00013500,13.5,call,2025-05-23,2.91,2.7238503752390564,0.18614962476094377,1.2726391251889038,0.9824423587152982,-3.243966387291445,0.0007354248373368738,821,82,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00014000,14.0,call,2025-05-23,2.4,2.2419828524798042,0.1580171475201957,1.1077151259039706,0.9552200167164855,-6.601528134567921,0.0016021410882592392,6311,6907,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00014500,14.5,call,2025-05-23,1.9,1.7824254190287565,0.1175745809712434,1.0121533600295303,0.9036759038839728,-11.606513268321915,0.002897502311106367,1759,319,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00015000,15.0,call,2025-05-23,1.45,1.3599809056049672,0.09001909439503275,0.9151912898220463,0.8215365896802286,-17.509271683617797,0.004428827156219956,6167,3407,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00015500,15.5,call,2025-05-23,1.06,0.9901250657014486,0.0698749342985514,0.8640838462013053,0.7095945614755289,-22.82417590703842,0.005812499068570886,2369,4736,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00016000,16.0,call,2025-05-23,0.74,0.6846654839899866,0.05533451601001338,0.8442360585809325,0.577257333016819,-25.983032989543496,0.0066424701466164535,10417,13344,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00016500,16.5,call,2025-05-23,0.49,0.4482337923224833,0.04176620767751671,0.8536279559641241,0.43981411995884523,-26.117514031761566,0.006692625751182505,8233,11648,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00017000,17.0,call,2025-05-23,0.32,0.2773258017010152,0.04267419829898483,0.874527624766581,0.3129791377350877,-23.42350641789476,0.006011549810364696,23623,9475,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00017500,17.5,call,2025-05-23,0.21,0.1620707142876836,0.04792928571231639,0.9067561013723126,0.20791804836889227,-18.924204865457348,0.0048619855647258,34788,5716,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523C00018000,18.0,call,2025-05-23,0.14,0.08950806771695907,0.05049193228304094,0.9270747843880532,0.12908687212183229,-13.89378836527502,0.0035723071387449333,16207,3897,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523P00015000,15.0,put,2025-05-23,0.11,0.14505020932547952,-0.03505020932547952,0.8052472872039673,-0.17846341031977142,-17.059419604506182,0.004428827156219956,3205,6437,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523P00015500,15.5,put,2025-05-23,0.22,0.2750300128793093,-0.05503001287930928,0.7817663234435305,-0.2904054385244711,-22.359328758623082,0.005812499068570886,3609,4695,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
MARA,O:MARA250523P00016000,16.0,put,2025-05-23,0.4,0.46940607462520223,-0.06940607462520221,0.7735932796796214,-0.42274266698318097,-25.50319077182444,0.0066424701466164535,3386,4604,4,0-7,63.64764267990074,16.76165520491782,12.100344795082181,16.21,1,0.2167307316980005,0.8816523345551515,0.6364764267990074,True,False,6
